id;name;brief;country;year;link
100;Abbvie;abbvie;USA;2013;https://www.abbvie.com/our-science/pipeline.html
101;Bristol Myers Squibb;bms;USA;1887;https://www.bms.com/researchers-and-partners/in-the-pipeline.html
